"name","Unit_Price","discount","Sequence","Quantity","Title","itemName","item_code","Field","label","cif_value","fti_value","obj_value","obj_type","data_text_field"
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleFrameWeight,Baffle Frame Weight,"4.8868447999999995",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,removableBaffleValue,Removable Baffle,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,flangeInstallationCost,Flange Installation Cost,"7",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,model,Model,FTO1113,,FTOSilencerModel1,FTOSilencerModel,model
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalMaterialCost,Total Material Cost,"91.00111264000002",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,angleInstallationCost,Angle Installation Cost,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,halfBaffleFrameWeight,Half Baffle Frame Weight,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleFrameCost,Baffle Frame Cost,"17.95915464",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,weldedCasingCost,Welded Casing Cost,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalAssemblyCost,Total Assembly Cost,"178.96",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,widthSelection,Width Selection,FTV484,"600",,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleBullnoseArea,Baffle Bullnose Area,"0.232",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,manufacturingOh,Manufacturing OH,"100",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,infillProtectionProcessingCost,Infill Protection Processing Cost,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,modelDescription,Model Description,RF4A,,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleBullnoseWeight,Baffle  Bullnose  Weight,"1.45696",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,accessPanelValue,Access Panel,"0",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalCost,Total Cost,"369.96111264",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleBullnoseCost,Baffle Bullnose Cost,"5.2013472",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,totalWithProfit,Total with Profit,"610.435835856",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,bafflePerforatedSheetArea,Baffle Perforated Sheet Area,"0.488",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,bafflePerforatedSheetCost,Baffle Perforated Sheet Cost,"14.8596",,,,
CI30583,611.000000000,0.000000000,2,1.000000000,GI RF4A  Silencer 600 x 100 x 610,SKU36,SKU36,baffleRiveting,Baffle Riveting,"114",,,,
